QuantityAdjustment id,Location Name,Brand Name,Product Name,Adjustment Reason,Product Quantity Change,Inventory Adjustment Cost
e66070f0-4cfa-4e5f-82a3-9a02a30ef179,Rella Aesthetics,Galderma,Restylane Contour,received,5.0,0.0
e7e33aba-0f58-45ea-be11-e10e4d6cdec2,Rella Aesthetics - Napa,Botox,Botox,sale,-12.0,-76.08
e7f8806c-abcb-4cc3-869d-a7d099edbaf6,Rella Aesthetics,,Laser Hair Removal - Brazilian Area Package,sale,-1.0,0.0
ef487b2f-460e-445f-a488-a9a5ee6aa250,Rella Aesthetics - Napa,Rella Skincare,Hydroquinone Powder,sale,-2.0,-20.5
eff3876b-3fae-4db9-bcb3-f04184140d3d,Rella Aesthetics,,C02 Mask,sale,-3.0,0.0
f01dabc2-4e9d-4df4-a471-1805ef14d555,Rella Aesthetics,Botox,Botox,sale,-10.0,-63.4
f182d7e8-b560-41e6-a8c7-1ec372743682,Rella Aesthetics,Galderma,Dysport,recount,-210.0,-420.0
fa4e4cbf-cbba-4db6-94ac-b7c7ee01afc3,Rella Aesthetics,Galderma,Restylane Lyft,received,15.0,0.0
fca9c259-cc80-49cf-a33c-ebaae0e6c330,Rella Aesthetics,Botox,Botox,sale,-55.0,-348.7
fdfbbf5d-f665-4a0c-adb3-f0d669570918,Rella Aesthetics - Napa,Botox,Botox,recount,-13.0,-82.42
